program_row_id,canonical_title,canonical_slug,canonical_url,pillar,pillar_url,cluster,primary_keyword,secondary_keywords,search_intent,funnel_stage,owner_persona,source_system,source_record_id,source_handle,searchatlas_map_id,searchatlas_title_uuid,searchatlas_record_id,searchatlas_record_id_dropped,content_genius_article_uuid,content_genius_editor_url,repo_path,existing_url,publication_status,draft,frontmatter_noindex,publication_gate_nonpublic,noindex_required,preservation_classification,normalized_status,publication_state,is_pilot_001,pilot_article_id,pilot_batch_id,pilot_mdx_path,pilot_searchatlas_workflow_status,pilot_searchatlas_workflow_status_evidence_is_non_creation,pilot_searchatlas_record_status,pilot_dedupe_disposition,pilot_compliance_gate,pilot_compliance_disposition,pilot_compliance_publication_approval,pilot_compliance_legal_tax_sensitive,pilot_compliance_human_escalation_required,pilot_compliance_human_escalation_specialist,map_cluster,dedupe_group_id,canonical_group_owner_url,exact_slug_unique,exact_title_unique,nearest_same_cluster_slug,cannibalization_score,dedupe_review_status,action,action_reason,compliance_status,schema_status,internal_link_role,next_owner,source_body_imported,deployment_id,deployment_url,production_verification_path,production_verification_sha256,production_verified_at,index_status,performance_status,refresh_due_date,last_verified_at
MRX1000-0001,Can You Sell Part of Your Mineral Rights? Partial Interest Sales Explained,can-you-sell-part-of-your-mineral-rights-partial-interest-sales-explained,https://mineralrightsxchange.com/blog/can-you-sell-part-of-your-mineral-rights-partial-interest-sales-explained/,sell-mineral-rights,/sell-mineral-rights/,sell-mineral-rights-decision-process,can you sell part of mineral rights partial interest sales,,transactional,decision,Texas mineral rights owner,astro_repo,can-you-sell-part-of-your-mineral-rights-partial-interest-sales-explained.mdx,repo:src/content/posts/can-you-sell-part-of-your-mineral-rights-partial-interest-sales-explained.mdx,,,,,,,mrx/src/content/posts/can-you-sell-part-of-your-mineral-rights-partial-interest-sales-explained.mdx,https://mineralrightsxchange.com/blog/can-you-sell-part-of-your-mineral-rights-partial-interest-sales-explained/,published,false,false,false,false,live_public_published_route,live_public_published_route_release_10_verified,released_public_article,false,,,,,false,,,,,,false,false,,,canonical:can-you-sell-part-of-your-mineral-rights-partial-interest-sales-explained,https://mineralrightsxchange.com/blog/can-you-sell-part-of-your-mineral-rights-partial-interest-sales-explained/,true,true,how-to-sell-mineral-rights-in-texas,0.2,exact_and_fuzzy_title_check_pass,retain_verified_live_route_measure_index_coverage_and_refresh,"Release-10 passed the signed batch gate, production deployment, and independent post-publication verification. Preserve the canonical URL; measurement informs refresh and prioritization, not a numerical release gate.",release_10_capability_reviews_passed_production_verified,article_schema_path_present_revalidation_required,incumbent_supporting_article,mrx_growth_measurement,false,dpl_HB7uhWCLjVyiey3r6X7oLQnb6zSp,https://mrx-153mg41a4-team-mrx.vercel.app,mrx/artifacts/mrx1000-release-10/release/post-publication-verification.json,d3c61e8cb2195949d2b0bfd19077a40379e6199a85e0528562130ebcce6b440e,2026-08-12T10:38:25.540Z,published_indexable_pending_search_engine_index_confirmation,measurement_window_open,2026-11-10,2026-07-20T12:20:17.155Z
MRX1000-0002,How Long Does It Take to Sell Mineral Rights in Texas?,how-long-does-it-take-to-sell-mineral-rights-in-texas,https://mineralrightsxchange.com/blog/how-long-does-it-take-to-sell-mineral-rights-in-texas/,sell-mineral-rights,/sell-mineral-rights/,sell-mineral-rights-decision-process,how long to sell mineral rights texas,,transactional,decision,Texas mineral rights owner,astro_repo,how-long-does-it-take-to-sell-mineral-rights-in-texas.mdx,repo:src/content/posts/how-long-does-it-take-to-sell-mineral-rights-in-texas.mdx,,,,,,,mrx/src/content/posts/how-long-does-it-take-to-sell-mineral-rights-in-texas.mdx,https://mineralrightsxchange.com/blog/how-long-does-it-take-to-sell-mineral-rights-in-texas/,published,false,false,false,false,live_public_published_route,live_public_published_route_release_10_verified,released_public_article,false,,,,,false,,,,,,false,false,,,canonical:how-long-does-it-take-to-sell-mineral-rights-in-texas,https://mineralrightsxchange.com/blog/how-long-does-it-take-to-sell-mineral-rights-in-texas/,true,true,how-to-sell-mineral-rights-in-texas,0.3333,exact_and_fuzzy_title_check_pass,retain_verified_live_route_measure_index_coverage_and_refresh,"Release-10 passed the signed batch gate, production deployment, and independent post-publication verification. Preserve the canonical URL; measurement informs refresh and prioritization, not a numerical release gate.",release_10_capability_reviews_passed_production_verified,article_schema_path_present_revalidation_required,incumbent_supporting_article,mrx_growth_measurement,false,dpl_HB7uhWCLjVyiey3r6X7oLQnb6zSp,https://mrx-153mg41a4-team-mrx.vercel.app,mrx/artifacts/mrx1000-release-10/release/post-publication-verification.json,d3c61e8cb2195949d2b0bfd19077a40379e6199a85e0528562130ebcce6b440e,2026-08-12T10:38:25.540Z,published_indexable_pending_search_engine_index_confirmation,measurement_window_open,2026-11-10,2026-07-20T12:20:17.155Z
MRX1000-0003,How the Step-by-Step Process of Selling Texas Mineral Rights Works,how-the-step-by-step-process-of-selling-texas-mineral-rights-works,https://mineralrightsxchange.com/blog/how-the-step-by-step-process-of-selling-texas-mineral-rights-works/,sell-mineral-rights,/sell-mineral-rights/,sell-mineral-rights-decision-process,how the step-by-step process of selling texas mineral rights works,,transactional,decision,Texas mineral rights owner,astro_repo,how-the-step-by-step-process-of-selling-texas-mineral-rights-works.mdx,repo:src/content/posts/how-the-step-by-step-process-of-selling-texas-mineral-rights-works.mdx,,,,,,,mrx/src/content/posts/how-the-step-by-step-process-of-selling-texas-mineral-rights-works.mdx,https://mineralrightsxchange.com/blog/how-the-step-by-step-process-of-selling-texas-mineral-rights-works/,published,false,false,false,false,live_public_published_route,live_public_published_route_release_10_verified,released_public_article,false,,,,,false,,,,,,false,false,,,canonical:how-the-step-by-step-process-of-selling-texas-mineral-rights-works,https://mineralrightsxchange.com/blog/how-the-step-by-step-process-of-selling-texas-mineral-rights-works/,true,true,selling-mineral-rights-selling-process-for-mineral-owners,0.5,exact_and_fuzzy_title_check_pass,retain_verified_live_route_measure_index_coverage_and_refresh,"Release-10 passed the signed batch gate, production deployment, and independent post-publication verification. Preserve the canonical URL; measurement informs refresh and prioritization, not a numerical release gate.",release_10_capability_reviews_passed_production_verified,article_schema_path_present_revalidation_required,incumbent_supporting_article,mrx_growth_measurement,false,dpl_HB7uhWCLjVyiey3r6X7oLQnb6zSp,https://mrx-153mg41a4-team-mrx.vercel.app,mrx/artifacts/mrx1000-release-10/release/post-publication-verification.json,d3c61e8cb2195949d2b0bfd19077a40379e6199a85e0528562130ebcce6b440e,2026-08-12T10:38:25.540Z,published_indexable_pending_search_engine_index_confirmation,measurement_window_open,2026-11-10,2026-07-20T12:20:17.155Z
MRX1000-0877,How to Sell Mineral Rights in Texas,how-to-sell-mineral-rights-in-texas,https://mineralrightsxchange.com/blog/how-to-sell-mineral-rights-in-texas/,sell-mineral-rights,/sell-mineral-rights/,sell-mineral-rights-decision-process,how to sell mineral rights in texas,selling; closing; title,transactional,decision,Texas mineral rights owner,astro_repo,how-to-sell-mineral-rights-in-texas.mdx,repo:src/content/posts/how-to-sell-mineral-rights-in-texas.mdx,,,,,,,mrx/src/content/posts/how-to-sell-mineral-rights-in-texas.mdx,https://mineralrightsxchange.com/blog/how-to-sell-mineral-rights-in-texas/,published,false,false,false,false,live_public_published_route,live_public_published_route_existing_route_verified,incumbent_workspace_article,false,,,,,false,,,,,,false,false,,,canonical:how-to-sell-mineral-rights-in-texas,https://mineralrightsxchange.com/blog/how-to-sell-mineral-rights-in-texas/,true,true,cash-for-mineral-rights-guide-before-you-sell,0.5,exact_and_fuzzy_title_check_pass,retain_existing_live_canonical_url_no_new_release_action_authorized,Existing Astro URL is already public and remains the incumbent owner. This ledger authorizes no additional publication or indexing action.,existing_review_metadata_present_revalidation_required,article_schema_path_present_revalidation_required,incumbent_supporting_article,mrx_editorial,false,,,,,,,,,2026-07-20T12:20:17.155Z
MRX1000-0882,Documents Needed to Sell Texas Mineral Rights,what-documents-do-you-need-to-sell-mineral-rights-in-texas,https://mineralrightsxchange.com/blog/what-documents-do-you-need-to-sell-mineral-rights-in-texas/,sell-mineral-rights,/sell-mineral-rights/,sell-mineral-rights-decision-process,documents needed to sell texas mineral rights,documents; ownership; title,transactional,decision,Texas mineral rights owner,astro_repo,what-documents-do-you-need-to-sell-mineral-rights-in-texas.mdx,repo:src/content/posts/what-documents-do-you-need-to-sell-mineral-rights-in-texas.mdx,,,,,,,mrx/src/content/posts/what-documents-do-you-need-to-sell-mineral-rights-in-texas.mdx,https://mineralrightsxchange.com/blog/what-documents-do-you-need-to-sell-mineral-rights-in-texas/,published,false,false,false,false,live_public_published_route,live_public_published_route_existing_route_verified,incumbent_workspace_article,false,,,,,false,,,,,,false,false,,,canonical:what-documents-do-you-need-to-sell-mineral-rights-in-texas,https://mineralrightsxchange.com/blog/what-documents-do-you-need-to-sell-mineral-rights-in-texas/,true,true,how-to-sell-mineral-rights-in-texas,0.3333,exact_and_fuzzy_title_check_pass,retain_existing_live_canonical_url_no_new_release_action_authorized,Existing Astro URL is already public and remains the incumbent owner. This ledger authorizes no additional publication or indexing action.,existing_review_metadata_present_revalidation_required,article_schema_path_present_revalidation_required,incumbent_supporting_article,mrx_editorial,false,,,,,,,,,2026-07-20T12:20:17.155Z
MRX1000-0004,What Happens After You Sell Your Mineral Rights in Texas?,what-happens-after-you-sell-your-mineral-rights-in-texas,https://mineralrightsxchange.com/blog/what-happens-after-you-sell-your-mineral-rights-in-texas/,sell-mineral-rights,/sell-mineral-rights/,sell-mineral-rights-decision-process,after selling mineral rights texas,,transactional,decision,Texas mineral rights owner,astro_repo,what-happens-after-you-sell-your-mineral-rights-in-texas.mdx,repo:src/content/posts/what-happens-after-you-sell-your-mineral-rights-in-texas.mdx,,,,,,,mrx/src/content/posts/what-happens-after-you-sell-your-mineral-rights-in-texas.mdx,https://mineralrightsxchange.com/blog/what-happens-after-you-sell-your-mineral-rights-in-texas/,published,false,false,false,false,live_public_published_route,live_public_published_route_release_10_verified,released_public_article,false,,,,,false,,,,,,false,false,,,canonical:what-happens-after-you-sell-your-mineral-rights-in-texas,https://mineralrightsxchange.com/blog/what-happens-after-you-sell-your-mineral-rights-in-texas/,true,true,how-to-sell-mineral-rights-in-texas,0.3333,exact_and_fuzzy_title_check_pass,retain_verified_live_route_measure_index_coverage_and_refresh,"Release-10 passed the signed batch gate, production deployment, and independent post-publication verification. Preserve the canonical URL; measurement informs refresh and prioritization, not a numerical release gate.",release_10_capability_reviews_passed_production_verified,article_schema_path_present_revalidation_required,incumbent_supporting_article,mrx_growth_measurement,false,dpl_HB7uhWCLjVyiey3r6X7oLQnb6zSp,https://mrx-153mg41a4-team-mrx.vercel.app,mrx/artifacts/mrx1000-release-10/release/post-publication-verification.json,d3c61e8cb2195949d2b0bfd19077a40379e6199a85e0528562130ebcce6b440e,2026-08-12T10:38:25.540Z,published_indexable_pending_search_engine_index_confirmation,measurement_window_open,2026-11-10,2026-07-20T12:20:17.155Z
MRX1000-0005,5 Essential Steps to Ensure You Receive a Fair Valuation for Your Mineral Rights,5-essential-steps-to-ensure-you-receive-a-fair-valuation-for-your-mineral-rights,https://mineralrightsxchange.com/blog/5-essential-steps-to-ensure-you-receive-a-fair-valuation-for-your-mineral-rights/,sell-mineral-rights,/sell-mineral-rights/,sell-mineral-rights-decision-process,How Will I Know if I'm Receiving a Fair Valuation for My Mineral Rights?,,transactional,decision,Texas mineral rights owner,searchatlas_topical_map_export,c7fd2874-085d-4258-91a1-7a0e884e179b,searchatlas-topical-map:256286:title:c7fd2874-085d-4258-91a1-7a0e884e179b,256286,c7fd2874-085d-4258-91a1-7a0e884e179b,,,,,,,,,false,true,true,planning_only_inventory,planning_only_topical_map_title_planning_handle,planning_only_inventory,false,,,,,false,,,,,,false,false,,Questions,canonical:5-essential-steps-to-ensure-you-receive-a-fair-valuation-for-your-mineral-rights,https://mineralrightsxchange.com/blog/5-essential-steps-to-ensure-you-receive-a-fair-valuation-for-your-mineral-rights/,true,true,essential-steps-to-ensure-fair-valuation-of-your-mineral-rights-before-selling,0.625,exact_and_fuzzy_title_check_pass,refresh_keyword_then_brief_and_generate_after_gate,SearchAtlas title suggestion is useful planning input but is not a finished or approved article.,not_started,planned_article_faq_breadcrumb_speakable,planned_supporting_article,mrx_searchatlas_keywords,false,,,,,,,,,2026-07-20T12:20:17.155Z
MRX1000-0006,5 Key Factors to Assess the Value of Your Mineral Rights for Fair Evaluation,5-key-factors-to-assess-the-value-of-your-mineral-rights-for-fair-evaluation,https://mineralrightsxchange.com/blog/5-key-factors-to-assess-the-value-of-your-mineral-rights-for-fair-evaluation/,sell-mineral-rights,/sell-mineral-rights/,sell-mineral-rights-decision-process,How Can I Determine if My Mineral Rights Qualify for a Fair Assessment?,,transactional,decision,Texas mineral rights owner,searchatlas_topical_map_export,0ff6c947-d8ea-4bf8-9454-9f9b1b2e0d20,searchatlas-topical-map:256286:title:0ff6c947-d8ea-4bf8-9454-9f9b1b2e0d20,256286,0ff6c947-d8ea-4bf8-9454-9f9b1b2e0d20,,,,,,,,,false,true,true,planning_only_inventory,planning_only_topical_map_title_planning_handle,planning_only_inventory,false,,,,,false,,,,,,false,false,,Questions,canonical:5-key-factors-to-assess-the-value-of-your-mineral-rights-for-fair-evaluation,https://mineralrightsxchange.com/blog/5-key-factors-to-assess-the-value-of-your-mineral-rights-for-fair-evaluation/,true,true,key-factors-that-determine-the-value-of-your-texas-mineral-rights-pricing,0.3,exact_and_fuzzy_title_check_pass,refresh_keyword_then_brief_and_generate_after_gate,SearchAtlas title suggestion is useful planning input but is not a finished or approved article.,not_started,planned_article_faq_breadcrumb_speakable,planned_supporting_article,mrx_searchatlas_keywords,false,,,,,,,,,2026-07-20T12:20:17.155Z
MRX1000-0007,7 Effective Strategies to Keep Your Personal Information Confidential in Mineral Rights Transactions,7-effective-strategies-to-keep-your-personal-information-confidential-in-mineral-rights-transactions,https://mineralrightsxchange.com/blog/7-effective-strategies-to-keep-your-personal-information-confidential-in-mineral-rights-transactions/,sell-mineral-rights,/sell-mineral-rights/,sell-mineral-rights-decision-process,How Can I Ensure My Personal Information Remains Confidential During the Process?,,transactional,decision,Texas mineral rights owner,searchatlas_topical_map_export,290f3a76-9751-4a35-b5c0-a095733786fa,searchatlas-topical-map:254654:title:290f3a76-9751-4a35-b5c0-a095733786fa,254654,290f3a76-9751-4a35-b5c0-a095733786fa,,,,,,,,,false,true,true,planning_only_inventory,planning_only_topical_map_title_planning_handle,planning_only_inventory,false,,,,,false,,,,,,false,false,,Questions,canonical:7-effective-strategies-to-keep-your-personal-information-confidential-in-mineral-rights-transactions,https://mineralrightsxchange.com/blog/7-effective-strategies-to-keep-your-personal-information-confidential-in-mineral-rights-transactions/,true,true,understanding-texas-mineral-rights-transactions-today,0.1111,exact_and_fuzzy_title_check_pass,refresh_keyword_then_brief_and_generate_after_gate,SearchAtlas title suggestion is useful planning input but is not a finished or approved article.,not_started,planned_article_faq_breadcrumb_speakable,planned_supporting_article,mrx_searchatlas_keywords,false,,,,,,,,,2026-07-20T12:20:17.155Z
MRX1000-0008,Avoid These Common Mistakes When Navigating the Mineral Rights Selling Process,avoid-these-common-mistakes-when-navigating-the-mineral-rights-selling-process,https://mineralrightsxchange.com/blog/avoid-these-common-mistakes-when-navigating-the-mineral-rights-selling-process/,sell-mineral-rights,/sell-mineral-rights/,sell-mineral-rights-decision-process,What Are Common Pitfalls When Selling Mineral Rights That I Should Avoid?,,transactional,decision,Texas mineral rights owner,searchatlas_topical_map_export,c60ae3bc-314f-4179-9a0b-ca0f6c925d65,searchatlas-topical-map:256286:title:c60ae3bc-314f-4179-9a0b-ca0f6c925d65,256286,c60ae3bc-314f-4179-9a0b-ca0f6c925d65,,,,,,,,,false,true,true,planning_only_inventory,planning_only_topical_map_title_planning_handle,planning_only_inventory,false,,,,,false,,,,,,false,false,,Questions,canonical:avoid-these-common-mistakes-when-navigating-the-mineral-rights-selling-process,https://mineralrightsxchange.com/blog/avoid-these-common-mistakes-when-navigating-the-mineral-rights-selling-process/,true,true,avoid-these-common-mistakes-when-selling-mineral-rights,0.7143,exact_and_fuzzy_title_check_pass,refresh_keyword_then_brief_and_generate_after_gate,SearchAtlas title suggestion is useful planning input but is not a finished or approved article.,not_started,planned_article_faq_breadcrumb_speakable,planned_supporting_article,mrx_searchatlas_keywords,false,,,,,,,,,2026-07-20T12:20:17.155Z
