priority,keyword,search_volume,keyword_difficulty,cpc_usd,intent,canonical_target,guardrail
1,sell mineral rights,390,9,14.01,commercial,/sell-mineral-rights/,One canonical transaction pillar
1,mineral rights value,260,11,4.45,commercial investigation,/mineral-rights-value/,Directional review not certified appraisal
1,how to sell mineral rights,170,8,14.89,commercial informational,/sell-mineral-rights/,Support with one guide
1,how much are mineral rights worth,170,9,3.12,commercial investigation,/mineral-rights-value/,Avoid teaser numbers
1,mineral rights buyers,140,8,12.51,commercial,/sell-mineral-rights/,Neutral buyer-comparison language
1,mineral rights buyer,110,9,12.68,commercial,/sell-mineral-rights/,Merge singular and plural intent
1,inherited mineral rights,90,9,0.00,owner problem,/inherited-mineral-rights/,Avoid probate conclusions
1,who buys mineral rights,70,11,13.46,commercial investigation,/sell-mineral-rights/,Neutral buyer evaluation
1,mineral rights tax implications,50,9,0.00,tax education,/learning-center/mineral-rights-taxes/,Qualified tax professional disclaimer
1,texas mineral rights,1300,8,2.62,state,/mineral-rights/texas/,Canonical state page
1,mineral rights oklahoma,390,8,3.03,state,/mineral-rights/oklahoma/,Canonical state page
1,mineral rights wyoming,210,6,0.00,state,/mineral-rights/wyoming/,Canonical state page
1,mineral rights west virginia,170,4,3.58,state,/mineral-rights/west-virginia/,Canonical state page
1,mineral rights louisiana,170,4,2.44,state,/mineral-rights/louisiana/,Canonical state page
2,mineral rights north dakota,320,28,2.16,state,/mineral-rights/north-dakota/,Canonical state page
2,mineral rights colorado,260,34,5.66,state,/mineral-rights/colorado/,Canonical state page
2,mineral rights pennsylvania,140,13,5.87,state,/mineral-rights/pennsylvania/,Canonical state page
2,mineral rights new mexico,70,13,3.22,state,/mineral-rights/new-mexico/,Canonical state page
2,what are mineral rights,1300,40,0.13,educational,/learning-center/,Canonical fundamentals guide
2,mineral rights title search,1300,28,2.47,ownership education,/learning-center/title-lease-ownership/,No title opinion or title-service claim
2,mineral rights valuation,260,26,4.45,commercial investigation,/mineral-rights-value/,Directional-review scope
2,mineral rights appraisal,260,9,4.53,regulated comparison,/methodology/,Comparison intent only; MRX is not presented as appraiser
2,mineral rights royalties,50,28,2.50,educational,/learning-center/oil-and-gas-royalties/,Royalty education
2,1031 exchange mineral rights,10,26,4.33,tax transaction,/1031-exchange/,Qualified intermediary and tax disclaimer
2,mineral rights purchase agreement,10,19,0.00,contract education,/offer-review/,No legal interpretation
2,mineral rights price per acre,10,10,0.00,value education,/mineral-rights-value/,Explain comparison limitations
3,mineral rights calculator,140,9,3.69,tool demand,HOLD,No tool claim until product exists
3,mineral rights royalty calculator,140,4,2.69,tool demand,HOLD,No tool claim until product exists
3,mineral rights marketplace,30,26,3.67,commercial comparison,HOLD,Do not imply MRX operates a marketplace
3,permian basin royalties,590,49,1.18,basin education,/mineral-rights/texas/,Texas and New Mexico context
