program_row_id,canonical_title,canonical_slug,canonical_url,cluster,pillar,search_intent,funnel_stage,source_preservation_classification,source_route_live,pillar_url,pillar_route_evidence,pillar_link_status,sibling_target_program_row_id,sibling_target_title,sibling_url,sibling_relationship,sibling_target_source_preservation_classification,sibling_target_route_live,sibling_link_status,primary_cta_url,primary_cta_label,primary_cta_name,primary_cta_placement_code,primary_cta_placement_guidance,primary_cta_assignment_rule,primary_cta_assignment_basis,primary_cta_approved_route_evidence,primary_cta_role,primary_cta_is_appointment,primary_cta_status,appointment_cta_url,appointment_cta_label,appointment_cta_name,appointment_cta_placement_code,appointment_cta_placement_guidance,appointment_cta_assignment_rule,appointment_cta_assignment_basis,appointment_cta_approved_route_evidence,appointment_cta_role,appointment_cta_distinct_from_primary,appointment_cta_status,triangle_plan_status,primary_cta_plan_status,appointment_cta_plan_status,rendered_status,rendered_triangle_verified,live_status,live_triangle_verified,release_status,numerical_release_cap_applies
MRX1000-0001,Can You Sell Part of Your Mineral Rights? Partial Interest Sales Explained,can-you-sell-part-of-your-mineral-rights-partial-interest-sales-explained,/blog/can-you-sell-part-of-your-mineral-rights-partial-interest-sales-explained/,sell-mineral-rights-decision-process,sell-mineral-rights,transactional,decision,live_public_published_route,true,/sell-mineral-rights/,src/pages/sell-mineral-rights.astro,planned_local_only,MRX1000-0002,How Long Does It Take to Sell Mineral Rights in Texas?,/blog/how-long-does-it-take-to-sell-mineral-rights-in-texas/,same_cluster_next_by_program_row_id_cyclic,live_public_published_route,true,planned_local_only,/book/,Talk Through My Selling Options,mrx1000-sell-mineral-rights-book_review-closing_panel,closing_panel,Place in the closing decision panel after key takeaways and before related articles.,decision_stage_team_handoff,decision:transactional,src/pages/book.astro,primary_appointment,true,planned_local_only,/book/,Talk Through My Selling Options,mrx1000-sell-mineral-rights-book_review-closing_panel,closing_panel,Place in the closing decision panel after key takeaways and before related articles.,decision_stage_team_handoff,decision:transactional,src/pages/book.astro,same_as_primary_appointment,false,planned_local_only,planned_complete,planned_complete,planned_complete,not_rendered_or_verified_by_this_plan,false,not_published_or_verified_by_this_plan,false,released_under_d16_continuous_quality_gate,false
MRX1000-0002,How Long Does It Take to Sell Mineral Rights in Texas?,how-long-does-it-take-to-sell-mineral-rights-in-texas,/blog/how-long-does-it-take-to-sell-mineral-rights-in-texas/,sell-mineral-rights-decision-process,sell-mineral-rights,transactional,decision,live_public_published_route,true,/sell-mineral-rights/,src/pages/sell-mineral-rights.astro,planned_local_only,MRX1000-0003,How the Step-by-Step Process of Selling Texas Mineral Rights Works,/blog/how-the-step-by-step-process-of-selling-texas-mineral-rights-works/,same_cluster_next_by_program_row_id_cyclic,live_public_published_route,true,planned_local_only,/book/,Talk Through My Selling Options,mrx1000-sell-mineral-rights-book_review-closing_panel,closing_panel,Place in the closing decision panel after key takeaways and before related articles.,decision_stage_team_handoff,decision:transactional,src/pages/book.astro,primary_appointment,true,planned_local_only,/book/,Talk Through My Selling Options,mrx1000-sell-mineral-rights-book_review-closing_panel,closing_panel,Place in the closing decision panel after key takeaways and before related articles.,decision_stage_team_handoff,decision:transactional,src/pages/book.astro,same_as_primary_appointment,false,planned_local_only,planned_complete,planned_complete,planned_complete,not_rendered_or_verified_by_this_plan,false,not_published_or_verified_by_this_plan,false,released_under_d16_continuous_quality_gate,false
MRX1000-0003,How the Step-by-Step Process of Selling Texas Mineral Rights Works,how-the-step-by-step-process-of-selling-texas-mineral-rights-works,/blog/how-the-step-by-step-process-of-selling-texas-mineral-rights-works/,sell-mineral-rights-decision-process,sell-mineral-rights,transactional,decision,live_public_published_route,true,/sell-mineral-rights/,src/pages/sell-mineral-rights.astro,planned_local_only,MRX1000-0004,What Happens After You Sell Your Mineral Rights in Texas?,/blog/what-happens-after-you-sell-your-mineral-rights-in-texas/,same_cluster_next_by_program_row_id_cyclic,live_public_published_route,true,planned_local_only,/book/,Talk Through My Selling Options,mrx1000-sell-mineral-rights-book_review-closing_panel,closing_panel,Place in the closing decision panel after key takeaways and before related articles.,decision_stage_team_handoff,decision:transactional,src/pages/book.astro,primary_appointment,true,planned_local_only,/book/,Talk Through My Selling Options,mrx1000-sell-mineral-rights-book_review-closing_panel,closing_panel,Place in the closing decision panel after key takeaways and before related articles.,decision_stage_team_handoff,decision:transactional,src/pages/book.astro,same_as_primary_appointment,false,planned_local_only,planned_complete,planned_complete,planned_complete,not_rendered_or_verified_by_this_plan,false,not_published_or_verified_by_this_plan,false,released_under_d16_continuous_quality_gate,false
MRX1000-0004,What Happens After You Sell Your Mineral Rights in Texas?,what-happens-after-you-sell-your-mineral-rights-in-texas,/blog/what-happens-after-you-sell-your-mineral-rights-in-texas/,sell-mineral-rights-decision-process,sell-mineral-rights,transactional,decision,live_public_published_route,true,/sell-mineral-rights/,src/pages/sell-mineral-rights.astro,planned_local_only,MRX1000-0005,5 Essential Steps to Ensure You Receive a Fair Valuation for Your Mineral Rights,/blog/5-essential-steps-to-ensure-you-receive-a-fair-valuation-for-your-mineral-rights/,same_cluster_next_by_program_row_id_cyclic,planning_only_inventory,false,planned_local_only,/book/,Talk Through My Selling Options,mrx1000-sell-mineral-rights-book_review-closing_panel,closing_panel,Place in the closing decision panel after key takeaways and before related articles.,decision_stage_team_handoff,decision:transactional,src/pages/book.astro,primary_appointment,true,planned_local_only,/book/,Talk Through My Selling Options,mrx1000-sell-mineral-rights-book_review-closing_panel,closing_panel,Place in the closing decision panel after key takeaways and before related articles.,decision_stage_team_handoff,decision:transactional,src/pages/book.astro,same_as_primary_appointment,false,planned_local_only,planned_complete,planned_complete,planned_complete,not_rendered_or_verified_by_this_plan,false,not_published_or_verified_by_this_plan,false,released_under_d16_continuous_quality_gate,false
MRX1000-0005,5 Essential Steps to Ensure You Receive a Fair Valuation for Your Mineral Rights,5-essential-steps-to-ensure-you-receive-a-fair-valuation-for-your-mineral-rights,/blog/5-essential-steps-to-ensure-you-receive-a-fair-valuation-for-your-mineral-rights/,sell-mineral-rights-decision-process,sell-mineral-rights,transactional,decision,planning_only_inventory,false,/sell-mineral-rights/,src/pages/sell-mineral-rights.astro,planned_local_only,MRX1000-0006,5 Key Factors to Assess the Value of Your Mineral Rights for Fair Evaluation,/blog/5-key-factors-to-assess-the-value-of-your-mineral-rights-for-fair-evaluation/,same_cluster_next_by_program_row_id_cyclic,planning_only_inventory,false,planned_local_only,/book/,Talk Through My Selling Options,mrx1000-sell-mineral-rights-book_review-closing_panel,closing_panel,Place in the closing decision panel after key takeaways and before related articles.,decision_stage_team_handoff,decision:transactional,src/pages/book.astro,primary_appointment,true,planned_local_only,/book/,Talk Through My Selling Options,mrx1000-sell-mineral-rights-book_review-closing_panel,closing_panel,Place in the closing decision panel after key takeaways and before related articles.,decision_stage_team_handoff,decision:transactional,src/pages/book.astro,same_as_primary_appointment,false,planned_local_only,planned_complete,planned_complete,planned_complete,not_rendered_or_verified_by_this_plan,false,not_published_or_verified_by_this_plan,false,eligible_for_continuous_quality_review_not_yet_cleared,false
MRX1000-0006,5 Key Factors to Assess the Value of Your Mineral Rights for Fair Evaluation,5-key-factors-to-assess-the-value-of-your-mineral-rights-for-fair-evaluation,/blog/5-key-factors-to-assess-the-value-of-your-mineral-rights-for-fair-evaluation/,sell-mineral-rights-decision-process,sell-mineral-rights,transactional,decision,planning_only_inventory,false,/sell-mineral-rights/,src/pages/sell-mineral-rights.astro,planned_local_only,MRX1000-0007,Mineral Rights Document Redaction Checklist Before You Share Records,/blog/mineral-rights-document-redaction-checklist-before-sharing-records/,same_cluster_next_by_program_row_id_cyclic,live_public_published_route,true,planned_local_only,/book/,Talk Through My Selling Options,mrx1000-sell-mineral-rights-book_review-closing_panel,closing_panel,Place in the closing decision panel after key takeaways and before related articles.,decision_stage_team_handoff,decision:transactional,src/pages/book.astro,primary_appointment,true,planned_local_only,/book/,Talk Through My Selling Options,mrx1000-sell-mineral-rights-book_review-closing_panel,closing_panel,Place in the closing decision panel after key takeaways and before related articles.,decision_stage_team_handoff,decision:transactional,src/pages/book.astro,same_as_primary_appointment,false,planned_local_only,planned_complete,planned_complete,planned_complete,not_rendered_or_verified_by_this_plan,false,not_published_or_verified_by_this_plan,false,eligible_for_continuous_quality_review_not_yet_cleared,false
MRX1000-0007,Mineral Rights Document Redaction Checklist Before You Share Records,mineral-rights-document-redaction-checklist-before-sharing-records,/blog/mineral-rights-document-redaction-checklist-before-sharing-records/,sell-mineral-rights-decision-process,sell-mineral-rights,informational,decision,live_public_published_route,true,/sell-mineral-rights/,src/pages/sell-mineral-rights.astro,planned_local_only,MRX1000-0008,Avoid These Common Mistakes When Navigating the Mineral Rights Selling Process,/blog/avoid-these-common-mistakes-when-navigating-the-mineral-rights-selling-process/,same_cluster_next_by_program_row_id_cyclic,planning_only_inventory,false,planned_local_only,/book/,Talk Through My Selling Options,mrx1000-sell-mineral-rights-book_review-closing_panel,closing_panel,Place in the closing decision panel after key takeaways and before related articles.,decision_stage_team_handoff,decision:informational,src/pages/book.astro,primary_appointment,true,planned_local_only,/book/,Talk Through My Selling Options,mrx1000-sell-mineral-rights-book_review-closing_panel,closing_panel,Place in the closing decision panel after key takeaways and before related articles.,decision_stage_team_handoff,decision:informational,src/pages/book.astro,same_as_primary_appointment,false,planned_local_only,planned_complete,planned_complete,planned_complete,not_rendered_or_verified_by_this_plan,false,not_published_or_verified_by_this_plan,false,released_under_d16_continuous_quality_gate,false
MRX1000-0008,Avoid These Common Mistakes When Navigating the Mineral Rights Selling Process,avoid-these-common-mistakes-when-navigating-the-mineral-rights-selling-process,/blog/avoid-these-common-mistakes-when-navigating-the-mineral-rights-selling-process/,sell-mineral-rights-decision-process,sell-mineral-rights,transactional,decision,planning_only_inventory,false,/sell-mineral-rights/,src/pages/sell-mineral-rights.astro,planned_local_only,MRX1000-0009,Avoid These Common Mistakes When Selling Mineral Rights,/blog/avoid-these-common-mistakes-when-selling-mineral-rights/,same_cluster_next_by_program_row_id_cyclic,planning_only_inventory,false,planned_local_only,/book/,Talk Through My Selling Options,mrx1000-sell-mineral-rights-book_review-closing_panel,closing_panel,Place in the closing decision panel after key takeaways and before related articles.,decision_stage_team_handoff,decision:transactional,src/pages/book.astro,primary_appointment,true,planned_local_only,/book/,Talk Through My Selling Options,mrx1000-sell-mineral-rights-book_review-closing_panel,closing_panel,Place in the closing decision panel after key takeaways and before related articles.,decision_stage_team_handoff,decision:transactional,src/pages/book.astro,same_as_primary_appointment,false,planned_local_only,planned_complete,planned_complete,planned_complete,not_rendered_or_verified_by_this_plan,false,not_published_or_verified_by_this_plan,false,eligible_for_continuous_quality_review_not_yet_cleared,false
MRX1000-0009,Avoid These Common Mistakes When Selling Mineral Rights,avoid-these-common-mistakes-when-selling-mineral-rights,/blog/avoid-these-common-mistakes-when-selling-mineral-rights/,sell-mineral-rights-decision-process,sell-mineral-rights,transactional,decision,planning_only_inventory,false,/sell-mineral-rights/,src/pages/sell-mineral-rights.astro,planned_local_only,MRX1000-0010,Avoiding Common Mistakes: Essential Pitfalls to Sidestep When Selling Mineral Rights,/blog/avoiding-common-mistakes-essential-pitfalls-to-sidestep-when-selling-mineral-rights/,same_cluster_next_by_program_row_id_cyclic,planning_only_inventory,false,planned_local_only,/book/,Talk Through My Selling Options,mrx1000-sell-mineral-rights-book_review-closing_panel,closing_panel,Place in the closing decision panel after key takeaways and before related articles.,decision_stage_team_handoff,decision:transactional,src/pages/book.astro,primary_appointment,true,planned_local_only,/book/,Talk Through My Selling Options,mrx1000-sell-mineral-rights-book_review-closing_panel,closing_panel,Place in the closing decision panel after key takeaways and before related articles.,decision_stage_team_handoff,decision:transactional,src/pages/book.astro,same_as_primary_appointment,false,planned_local_only,planned_complete,planned_complete,planned_complete,not_rendered_or_verified_by_this_plan,false,not_published_or_verified_by_this_plan,false,eligible_for_continuous_quality_review_not_yet_cleared,false
MRX1000-0010,Avoiding Common Mistakes: Essential Pitfalls to Sidestep When Selling Mineral Rights,avoiding-common-mistakes-essential-pitfalls-to-sidestep-when-selling-mineral-rights,/blog/avoiding-common-mistakes-essential-pitfalls-to-sidestep-when-selling-mineral-rights/,sell-mineral-rights-decision-process,sell-mineral-rights,transactional,decision,planning_only_inventory,false,/sell-mineral-rights/,src/pages/sell-mineral-rights.astro,planned_local_only,MRX1000-0011,Avoiding Surprises: Understanding Hidden Costs During Your Mineral Rights Review Process,/blog/avoiding-surprises-understanding-hidden-costs-during-your-mineral-rights-review-process/,same_cluster_next_by_program_row_id_cyclic,planning_only_inventory,false,planned_local_only,/book/,Talk Through My Selling Options,mrx1000-sell-mineral-rights-book_review-closing_panel,closing_panel,Place in the closing decision panel after key takeaways and before related articles.,decision_stage_team_handoff,decision:transactional,src/pages/book.astro,primary_appointment,true,planned_local_only,/book/,Talk Through My Selling Options,mrx1000-sell-mineral-rights-book_review-closing_panel,closing_panel,Place in the closing decision panel after key takeaways and before related articles.,decision_stage_team_handoff,decision:transactional,src/pages/book.astro,same_as_primary_appointment,false,planned_local_only,planned_complete,planned_complete,planned_complete,not_rendered_or_verified_by_this_plan,false,not_published_or_verified_by_this_plan,false,eligible_for_continuous_quality_review_not_yet_cleared,false
