node_id,map_id,cluster_name,title,target_keyword,keywords,article_status,page_url
8469620,,Valuation Services,Free Underwriter Review for Texas Mineral Owners,,"[""free underwriter review"",""underwriter valuation texas"",""free mineral rights review"",""confidential valuation no obligation"",""underwriter assessment mineral rights""]",Pending,/valuation/free-underwriter-review/
8469621,,Valuation Services,Competing Offer & Clawback Review Service,,"[""competing offer review"",""clawback language analysis"",""review mineral sale offers"",""protect against clawbacks"",""compare mineral offers texas""]",Pending,/valuation/competing-offer-review/
8469622,,Valuation Services,AI-Powered Pre-Qualification for Mineral Valuations,,"[""ai pre-qualification"",""mineral rights ai screening"",""fast mineral valuation prequal"",""streamlined pre-qualification texas"",""ai initial review minerals""]",Pending,/valuation/ai-pre-qualification/
8469623,,Valuation Services,Sample Texas Mineral Rights Valuation Report,,"[""sample valuation report"",""mineral rights report example"",""what valuation report looks like"",""valuation report sample texas"",""example dcf mineral report""]",Pending,/valuation/sample-report/
8469624,,Methodology,Discounted Cash Flow (DCF) Methodology Explained,,"[""discounted cash flow model"",""mineral rights dcf"",""25 year dcf projection"",""20% decline rate"",""12% discount rate valuation""]",Pending,/methodology/dcf-model/
8469625,,Methodology,25-Year Projection & 20% Annual Decline Assumptions,,"[""25 year projection"",""20 percent annual decline"",""dcf decline assumptions"",""mineral production decline model"",""projection decline rate texas""]",Pending,/methodology/decline-rate-projection/
8469626,,Methodology,Why a 12% Discount Rate Is Used,,"[""12 percent discount rate"",""dcf discount rationale"",""risk adjusted discount rate mineral rights"",""valuation discount rate texas"",""discount rate explanation mineral valuation""]",Pending,/methodology/discount-rate-rationale/
8469627,,Methodology,Public Production Data & Data Sources Used,,"[""public production data"",""texas rrc data"",""production data sources"",""mineral production public records"",""data sources for valuation texas""]",Pending,/methodology/data-sources/
8469628,,Methodology,DCF Sensitivity Analysis and Scenario Modeling,,"[""dcf sensitivity analysis"",""scenario modeling mineral rights"",""dcf scenario testing"",""stress test mineral valuation"",""valuation sensitivity texas""]",Pending,/methodology/sensitivity-analysis/
8469629,,How It Works,Confidential Valuations Without Public Listing,,"[""confidential valuation"",""no public listing mineral rights"",""private valuation service"",""avoid public offers confidential"",""no broker middlemen valuation""]",Pending,/how-it-works/confidentiality/
8469630,,How It Works,Free Valuation Model and How We Monetize,,"[""free valuation model"",""how valuation is free"",""lead gen valuation model"",""monetization advisory referral"",""transparent valuation fees explanation""]",Pending,/how-it-works/fees-monetization/
8469631,,Owner Types,Non-Resident Mineral Owners: Guidance and Valuation,,"[""non-resident mineral owners"",""out-of-state owners texas minerals"",""remote mineral valuation"",""valuing minerals from another state"",""mail in minerals valuation texas""]",Pending,/owners/non-resident/
8469632,,Owner Types,Probate and Heirs Mineral Rights Valuation,,"[""heirs mineral rights"",""probate mineral valuation"",""estate heirs texas minerals"",""inheritance mineral rights valuation"",""probate valuation guidance texas""]",Pending,/owners/heirs-probate/
8469633,,Owner Types,Mineral Rights Valuations for Investors and 1031 Exchanges,,"[""1031 exchange mineral rights"",""mineral rights investment valuation"",""investor mineral valuation"",""1031 qualified mineral appraisal"",""investment grade mineral valuation texas""]",Pending,/owners/investors-1031/
8469634,,Legal & Tax,Title Verification and Ownership Research for Mineral Rights,,"[""title verification mineral rights"",""ownership research minerals"",""probate title issues minerals"",""title disputes mineral rights"",""clear title mineral valuation texas""]",Pending,/legal-tax/title-probates/
8469635,,Legal & Tax,Identifying Clawback Clauses and Contract Red Flags,,"[""clawback clauses mineral contracts"",""contract red flags mineral sale"",""protect against clawbacks"",""clawback examples texas"",""mineral sale contract review""]",Pending,/legal-tax/clawbacks-contracts/
8469636,,Legal & Tax,Understanding Royalty Taxes and Reporting in Texas,,"[""royalty taxation texas"",""reporting mineral royalties"",""royalty tax obligations"",""texas mineral tax guidance"",""how royalties taxed texas""]",Pending,/legal-tax/royalty-taxation/
8469637,,Market Data & Trends,How Oil and Gas Prices Affect Mineral Valuations,,"[""oil gas price impact valuation"",""commodity prices mineral valuation"",""brent wti impact minerals"",""price sensitivity mineral rights"",""energy prices valuation texas""]",Pending,/market-trends/price-impact/
8469638,,Market Data & Trends,When to Sell Mineral Rights: Seasonal and Market Timing,,"[""when to sell mineral rights"",""seasonal selling minerals"",""best time to sell mineral rights"",""market timing minerals texas"",""seasonal mineral value strategies""]",Pending,/market-trends/seasonal-timing/
8469639,,Comparisons,Broker vs Underwriter: Which Valuation Path Is Best?,,"[""broker vs underwriter"",""broker offers mineral rights"",""underwriter valuation benefits"",""broker commission vs underwriter"",""independent valuation advantages texas""]",Pending,/compare/broker-vs-underwriter/
8469640,,Comparisons,Selling Mineral Rights vs Holding for Royalty Income,,"[""sell mineral rights vs hold"",""immediate cash vs royalties"",""monetize minerals now or later"",""royalty stream valuation sell vs hold"",""decision matrix sell or keep minerals""]",Pending,/compare/sell-vs-hold/
8469641,,Resources,Mineral Rights Glossary: Terms Owners Should Know,,"[""mineral rights glossary"",""royalty terms glossary"",""lease terms glossary"",""mineral definition glossary"",""common mineral terms texas""]",Pending,/resources/glossary/
8469642,,Resources,How Our Valuation Calculator Works,,"[""valuation calculator mineral rights"",""how valuation calculator works"",""diy valuation tool overview"",""online valuation calculator texas"",""calculator for mineral worth""]",Pending,/resources/calculator-overview/
8469643,,Case Studies,Probate Mineral Valuation Case Study for Heirs,,"[""heirs probate case study"",""mineral probate valuation example"",""inheritance valuation case"",""estate minerals case study"",""probate outcome mineral rights texas""]",Pending,/case-studies/heirs-probate/
8469644,,Case Studies,Competing Offer Analysis: Clawback Prevention Example,,"[""competing offer case study"",""clawback prevention case"",""offer review case study"",""mineral sale negotiation example"",""protecting owner case study texas""]",Pending,/case-studies/competing-offer/
8469645,,Trust & Authority,About Our Valuation Methodology and Team,,"[""valuation methodology transparency"",""about mineral rights xchange"",""our team mineral valuation"",""expert underwriters texas"",""valuation methodology published""]",Pending,/about/methodology-team/
8469646,,Trust & Authority,Privacy and Data Handling for Mineral Owners,,"[""privacy data handling mineral rights"",""confidential valuation privacy"",""owner data protection texas"",""how we handle data mineral valuations"",""secure valuation process""]",Pending,/about/privacy/
8469647,,Quick Reference,Document Checklist for a Mineral Valuation,,"[""valuation document checklist"",""what documents for valuation"",""documents needed mineral review"",""prepare for valuation checklist"",""valuation paperwork texas""]",Pending,/faq/document-checklist/
8469648,,Quick Reference,How to Read Your Mineral Valuation Report,,"[""how to read valuation report"",""understand valuation report"",""mineral report guide"",""interpret valuation results texas"",""report walkthrough mineral valuation""]",Pending,/faq/read-valuation-report/
8469649,,Quick Reference,Valuation Timeline: From Pre-Qualification to Report,,"[""valuation timeline 90 days"",""valuation timeline mineral rights"",""how long valuation takes"",""report delivery timeline texas"",""valuation process timeline guide""]",Pending,/faq/valuation-timeline/
8469650,,Quick Reference,Top 10 Contract Red Flags for Mineral Sellers,,"[""contract red flags top 10"",""quick red flags mineral contracts"",""what to avoid in mineral sale"",""clawback quick checklist"",""contract warning signs mineral rights""]",Pending,/faq/top-10-contract-red-flags/
8469651,,Supporting Content,Understanding Royalty Payment Schedules,,"[""royalty payment schedule"",""when royalties paid"",""royalty payment cycle mineral rights"",""royalty check schedule texas"",""how royalty payments work""]",Pending,/support/royalty-payment-schedule/
8469652,,Supporting Content,Mineral Rights vs Leasehold: Key Differences,,"[""mineral rights vs lease"",""lease vs mineral ownership"",""difference mineral and leasehold"",""who owns minerals vs surface"",""leasehold mineral clarification texas""]",Pending,/support/lease-vs-mineral-rights/
8469653,,Supporting Content,Valuing Non-Producing Orphaned Mineral Interests,,"[""non producing mineral valuation"",""orphaned interest valuation"",""how to value shut in wells"",""non producing minerals texas"",""late stage interest valuation""]",Pending,/support/non-producing-valuation/
