row,article_id,cluster_id,map_id,map_cluster,primary_keyword,canonical_title,canonical_slug,canonical_url,mdx_path,normalized_title,slug_unique,title_unique,nearest_same_cluster_slug,nearest_same_cluster_title_token_jaccard,collision_status,disposition,searchatlas_record_status,externally_published,publication_state,meta_robots,notes
1,MRX1000-PILOT-001-01,inherited-estate-probate,261159,Inherited Mineral Rights Education,Understanding Mineral Rights Offers,Mineral Rights Offers Explained for Inherited Properties,mineral-rights-offers-explained-for-inherited-properties,https://mineralrightsxchange.com/blog/mineral-rights-offers-explained-for-inherited-properties/,src/content/posts/mineral-rights-offers-explained-for-inherited-properties.mdx,mineral rights offers explained for inherited properties,true,true,royalty-management-for-inherited-mineral-rights,0.2000,none,keep-asis,needs_review,false,noindex_stage,"noindex,follow",Unique within 25-row pilot by canonical slug and normalized title; no same-cluster title-token Jaccard >= 0.75 detected.
2,MRX1000-PILOT-001-02,inherited-estate-probate,261159,Inherited Mineral Rights Education,Comparing Mineral Rights Buyers,Inherited Mineral Rights Buyers Compared: What to Look For,inherited-mineral-rights-buyers-compared,https://mineralrightsxchange.com/blog/inherited-mineral-rights-buyers-compared/,src/content/posts/inherited-mineral-rights-buyers-compared.mdx,inherited mineral rights buyers compared what to look for,true,true,mineral-rights-offers-explained-for-inherited-properties,0.1667,none,keep-asis,needs_review,false,noindex_stage,"noindex,follow",Unique within 25-row pilot by canonical slug and normalized title; no same-cluster title-token Jaccard >= 0.75 detected.
3,MRX1000-PILOT-001-03,inherited-estate-probate,261159,Inherited Mineral Rights Education,Royalty Management for Inherited Rights,Royalty Management for Inherited Mineral Rights,royalty-management-for-inherited-mineral-rights,https://mineralrightsxchange.com/blog/royalty-management-for-inherited-mineral-rights/,src/content/posts/royalty-management-for-inherited-mineral-rights.mdx,royalty management for inherited mineral rights,true,true,mineral-rights-offers-explained-for-inherited-properties,0.2000,none,keep-asis,needs_review,false,noindex_stage,"noindex,follow",Unique within 25-row pilot by canonical slug and normalized title; no same-cluster title-token Jaccard >= 0.75 detected.
4,MRX1000-PILOT-001-04,inherited-estate-probate,261159,Inherited Mineral Rights Education,Steps to Evaluate Mineral Rights,Steps for Evaluating Inherited Mineral Rights,steps-for-evaluating-inherited-mineral-rights,https://mineralrightsxchange.com/blog/steps-for-evaluating-inherited-mineral-rights/,src/content/posts/steps-for-evaluating-inherited-mineral-rights.mdx,steps for evaluating inherited mineral rights,true,true,mineral-rights-offers-explained-for-inherited-properties,0.2000,none,keep-asis,needs_review,false,noindex_stage,"noindex,follow",Unique within 25-row pilot by canonical slug and normalized title; no same-cluster title-token Jaccard >= 0.75 detected.
5,MRX1000-PILOT-001-05,royalties-owner-operations,261160,Royalties vs. Leases,Oil and Gas Lease vs Royalty Agreement,Oil and Gas Lease vs. Royalty Agreement,oil-and-gas-lease-vs-royalty-agreement,https://mineralrightsxchange.com/blog/oil-and-gas-lease-vs-royalty-agreement/,src/content/posts/oil-and-gas-lease-vs-royalty-agreement.mdx,oil and gas lease vs royalty agreement,true,true,oil-and-gas-royalty-payment-structures,0.4286,none,keep-asis,needs_review,false,noindex_stage,"noindex,follow",Unique within 25-row pilot by canonical slug and normalized title; no same-cluster title-token Jaccard >= 0.75 detected.
6,MRX1000-PILOT-001-06,royalties-owner-operations,261160,Royalties vs. Leases,Royalty Payment Structures in Oil and Gas,Oil and Gas Royalty Payment Structures Explained,oil-and-gas-royalty-payment-structures,https://mineralrightsxchange.com/blog/oil-and-gas-royalty-payment-structures/,src/content/posts/oil-and-gas-royalty-payment-structures.mdx,oil and gas royalty payment structures explained,true,true,oil-and-gas-lease-vs-royalty-agreement,0.4286,none,keep-asis,needs_review,false,noindex_stage,"noindex,follow",Unique within 25-row pilot by canonical slug and normalized title; no same-cluster title-token Jaccard >= 0.75 detected.
7,MRX1000-PILOT-001-07,royalties-owner-operations,261160,Royalties vs. Leases,Difference Between Oil Royalties and Leases,Oil Royalties vs. Leases: What Owners Should Know,oil-royalties-vs-leases,https://mineralrightsxchange.com/blog/oil-royalties-vs-leases/,src/content/posts/oil-royalties-vs-leases.mdx,oil royalties vs leases what owners should know,true,true,how-to-evaluate-royalties-and-mineral-leases,0.3333,none,keep-asis,needs_review,false,noindex_stage,"noindex,follow",Unique within 25-row pilot by canonical slug and normalized title; no same-cluster title-token Jaccard >= 0.75 detected.
8,MRX1000-PILOT-001-08,royalties-owner-operations,261160,Royalties vs. Leases,Evaluating Royalties for Mineral Rights,How to Evaluate Royalties and Mineral Leases,how-to-evaluate-royalties-and-mineral-leases,https://mineralrightsxchange.com/blog/how-to-evaluate-royalties-and-mineral-leases/,src/content/posts/how-to-evaluate-royalties-and-mineral-leases.mdx,how to evaluate royalties and mineral leases,true,true,oil-royalties-vs-leases,0.3333,none,keep-asis,needs_review,false,noindex_stage,"noindex,follow",Unique within 25-row pilot by canonical slug and normalized title; no same-cluster title-token Jaccard >= 0.75 detected.
9,MRX1000-PILOT-001-09,tax-1031-legal-education,261161,Questions,What Documentation Is Needed for a Mineral Rights 1031 Exchange?,Documents Needed for a Mineral Rights 1031 Exchange,documents-needed-for-a-mineral-rights-1031-exchange,https://mineralrightsxchange.com/blog/documents-needed-for-a-mineral-rights-1031-exchange/,src/content/posts/documents-needed-for-a-mineral-rights-1031-exchange.mdx,documents needed for a mineral rights 1031 exchange,true,true,1031-exchange-rules-for-mineral-rights-owners,0.4000,none,keep-asis,needs_review,false,noindex_stage,"noindex,follow",Unique within 25-row pilot by canonical slug and normalized title; no same-cluster title-token Jaccard >= 0.75 detected.
10,MRX1000-PILOT-001-10,tax-1031-legal-education,261161,Questions,What Fees Should I Expect When Engaging in a 1031 Exchange?,1031 Exchange Fees for Mineral Rights Sales,1031-exchange-fees-for-mineral-rights-sales,https://mineralrightsxchange.com/blog/1031-exchange-fees-for-mineral-rights-sales/,src/content/posts/1031-exchange-fees-for-mineral-rights-sales.mdx,1031 exchange fees for mineral rights sales,true,true,1031-exchange-rules-for-mineral-rights-owners,0.4000,none,keep-asis,needs_review,false,noindex_stage,"noindex,follow",Unique within 25-row pilot by canonical slug and normalized title; no same-cluster title-token Jaccard >= 0.75 detected.
